Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,"('1year4Mth', 'Terengganu')",1,,,"('3week', 'Melaka')",1,"('cases_new', 'Selangor')",9,"('5day', 'Sabah')",23,"('9mth', 'Selangor')",1,,,"('2week', 'Selangor')",1,"('3day', 'Melaka')",1,"('4week', 'Johor')",1,"('5day', 'W.P. Kuala Lumpur')",1,,,"('6mth', 'Perlis')",5,,
,,,,"('1year4Mth', 'W.P. Kuala Lumpur')",1,,,"('3week', 'Negeri Sembilan')",1,,,"('5day', 'Sarawak')",1,"('cases_new', 'Johor')",1,,,"('2week', 'Terengganu')",1,"('3day', 'Negeri Sembilan')",1,"('4week', 'Kedah')",1,"('5day', 'W.P. Labuan')",5,,,"('6mth', 'Terengganu')",1,,
,,,,"('1year4Mth', 'W.P. Labuan')",1,,,"('3week', 'Pahang')",1,,,"('5day', 'Selangor')",1,"('cases_new', 'Kedah')",1,,,"('2week', 'W.P. Kuala Lumpur')",1,"('3day', 'Pahang')",1,"('4week', 'Kelantan')",1,"('5day', 'W.P. Putrajaya')",1,,,"('6mth', 'W.P. Kuala Lumpur')",1,,
,,,,"('1year4Mth', 'W.P. Putrajaya')",8,,,"('3week', 'Perak')",1,,,"('5day', 'Terengganu')",2,"('cases_new', 'Kelantan')",1,,,"('2week', 'W.P. Labuan')",1,"('3day', 'Perak')",21,"('4week', 'Melaka')",1,"('5mth', 'Johor')",18,,,"('7mth', 'Negeri Sembilan')",1,,
,,,,"('1year5Mth', 'Kelantan')",1,,,"('3week', 'Pulau Pinang')",30,,,"('5day', 'W.P. Kuala Lumpur')",1,"('cases_new', 'Melaka')",4,,,"('2week', 'W.P. Putrajaya')",1,"('3day', 'Pulau Pinang')",12,"('4week', 'Pahang')",1,"('5mth', 'Kedah')",1,,,"('8mth', 'Kedah')",17,,
,,,,"('1year5Mth', 'Melaka')",1,,,"('3week', 'Sabah')",1,,,"('5day', 'W.P. Labuan')",1,"('cases_new', 'Negeri Sembilan')",1,,,"('3day', 'Johor')",1,"('3day', 'Sabah')",1,"('4week', 'Perak')",1,"('5mth', 'Kelantan')",1,,,"('8mth', 'Sabah')",1,,
,,,,"('1year5Mth', 'Negeri Sembilan')",1,,,"('3week', 'Sarawak')",1,,,"('5mth', 'Johor')",5,"('cases_new', 'Pahang')",1,,,"('3day', 'Kedah')",1,"('3day', 'Sarawak')",1,"('4week', 'Sabah')",1,"('5mth', 'Melaka')",1,,,"('8mth', 'Selangor')",1,,
,,,,"('1year5Mth', 'Pahang')",1,,,"('3week', 'Selangor')",1,,,"('5mth', 'Kedah')",1,"('cases_new', 'Perak')",1,,,"('3day', 'Kelantan')",1,"('3day', 'Terengganu')",1,"('4week', 'Sarawak')",1,"('5mth', 'Negeri Sembilan')",1,,,"('8mth', 'W.P. Kuala Lumpur')",1,,
,,,,"('1year5Mth', 'Perak')",1,,,"('3week', 'Terengganu')",1,,,"('5mth', 'Melaka')",1,"('cases_new', 'Perlis')",8,,,"('3day', 'Melaka')",1,"('3day', 'W.P. Kuala Lumpur')",1,"('4week', 'Selangor')",1,"('5mth', 'Perlis')",11,,,"('9mth', 'Kedah')",30,,
,,,,"('1year5Mth', 'Perlis')",1,,,"('3week', 'W.P. Kuala Lumpur')",1,,,"('5mth', 'Pahang')",1,"('cases_new', 'Selangor')",1,,,"('3day', 'Negeri Sembilan')",1,"('3day', 'W.P. Labuan')",1,"('4week', 'Terengganu')",1,"('5mth', 'Pulau Pinang')",1,,,"('9mth', 'Kelantan')",2,,
,,,,"('1year5Mth', 'Sabah')",1,,,"('3week', 'W.P. Labuan')",1,,,"('5mth', 'Pulau Pinang')",1,"('cases_new', 'W.P. Kuala Lumpur')",1,,,"('3day', 'Pahang')",1,"('3day', 'W.P. Putrajaya')",1,"('4week', 'W.P. Kuala Lumpur')",10,"('5mth', 'Sabah')",1,,,"('9mth', 'Sabah')",1,,
