Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('admitted_total', 'Melaka')",72,"('admitted_total', 'Negeri Sembilan')",37,"('admitted_total', 'Johor')",38,"('admitted_total', 'Johor')",40,"('admitted_total', 'Melaka')",13,"('admitted_total', 'Kedah')",1,"('admitted_total', 'Johor')",97,"('admitted_total', 'Johor')",52,"('admitted_total', 'Johor')",55,"('admitted_total', 'Melaka')",71,"('admitted_total', 'Melaka')",65,"('admitted_total', 'Johor')",50,"('admitted_total', 'Melaka')",27,"('admitted_total', 'Johor')",69,"('admitted_total', 'Kedah')",68,"('admitted_total', 'Johor')",37
"('admitted_total', 'Negeri Sembilan')",13,"('beds_covid', 'Kedah')",98,"('admitted_total', 'Melaka')",34,"('admitted_total', 'Kedah')",21,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Pahang')",73,"('admitted_total', 'Negeri Sembilan')",30,"('admitted_total', 'Negeri Sembilan')",6,"('admitted_total', 'Melaka')",93,"('admitted_total', 'Negeri Sembilan')",52,"('admitted_total', 'Selangor')",47,"('admitted_total', 'Kedah')",96,"('admitted_total', 'Negeri Sembilan')",46,"('admitted_total', 'Kelantan')",13,"('admitted_total', 'Melaka')",54,"('admitted_total', 'Kedah')",42
"('admitted_total', 'Perak')",1,"('beds_covid', 'Negeri Sembilan')",2,"('admitted_total', 'Negeri Sembilan')",9,"('admitted_total', 'Melaka')",35,"('admitted_total', 'Pahang')",33,"('admitted_total', 'Pulau Pinang')",99,"('admitted_total', 'Perak')",1,"('admitted_total', 'Sabah')",100,"('admitted_total', 'Negeri Sembilan')",20,"('admitted_total', 'W.P. Kuala Lumpur')",98,"('admitted_total', 'W.P. Kuala Lumpur')",10,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Sabah')",87,"('admitted_total', 'Melaka')",88,"('admitted_total', 'Negeri Sembilan')",50,"('admitted_total', 'Kelantan')",2
"('admitted_total', 'Terengganu')",56,"('beds_covid', 'Selangor')",2,"('admitted_total', 'Pahang')",99,"('admitted_total', 'Sarawak')",76,"('admitted_total', 'Sarawak')",29,"('admitted_total', 'Terengganu')",45,"('admitted_total', 'Selangor')",100,"('admitted_total', 'Selangor')",62,"('admitted_total', 'Pahang')",88,"('beds_covid', 'Melaka')",68,"('admitted_total', 'W.P. Labuan')",2,"('admitted_total', 'Selangor')",7,"('admitted_total', 'W.P. Labuan')",55,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Sabah')",87,"('admitted_total', 'Melaka')",69
"('admitted_total', 'W.P. Kuala Lumpur')",7,"('beds_covid', 'W.P. Kuala Lumpur')",47,"('admitted_total', 'Perak')",57,"('admitted_total', 'W.P. Kuala Lumpur')",45,"('admitted_total', 'W.P. Kuala Lumpur')",8,"('beds_covid', 'Kedah')",39,"('admitted_total', 'W.P. Kuala Lumpur')",39,"('admitted_total', 'W.P. Kuala Lumpur')",56,"('admitted_total', 'Perlis')",53,"('beds_covid', 'Negeri Sembilan')",1,"('admitted_total', 'W.P. Putrajaya')",47,"('admitted_total', 'W.P. Kuala Lumpur')",16,"('admitted_total', 'W.P. Putrajaya')",99,"('admitted_total', 'Perak')",18,"('admitted_total', 'Selangor')",84,"('admitted_total', 'Negeri Sembilan')",53
"('beds_covid', 'Johor')",48,"('beds_covid', 'W.P. Labuan')",8,"('admitted_total', 'W.P. Kuala Lumpur')",2,"('admitted_total', 'W.P. Labuan')",37,"('beds_covid', 'Negeri Sembilan')",2,"('beds_covid', 'Kelantan')",27,"('admitted_total', 'W.P. Labuan')",30,"('beds_covid', 'Kedah')",6,"('admitted_total', 'Selangor')",2,"('beds_covid', 'W.P. Kuala Lumpur')",65,"('beds_covid', 'Kedah')",51,"('admitted_total', 'W.P. Putrajaya')",4,"('beds_covid', 'Kedah')",19,"('admitted_total', 'Terengganu')",80,"('admitted_total', 'W.P. Kuala Lumpur')",37,"('admitted_total', 'Perak')",77
"('beds_covid', 'Kedah')",14,"('beds_icu', 'Kedah')",78,"('beds_covid', 'Kedah')",79,"('beds_covid', 'Kedah')",31,"('beds_covid', 'Pulau Pinang')",60,"('beds_covid', 'Melaka')",1,"('beds_covid', 'Kedah')",44,"('beds_covid', 'Negeri Sembilan')",22,"('admitted_total', 'W.P. Kuala Lumpur')",49,"('beds_covid', 'W.P. Labuan')",1,"('beds_covid', 'Melaka')",67,"('beds_covid', 'Kedah')",26,"('beds_covid', 'Melaka')",2,"('admitted_total', 'W.P. Kuala Lumpur')",54,"('admitted_total', 'W.P. Labuan')",9,"('admitted_total', 'Sabah')",32
"('beds_covid', 'Melaka')",18,"('beds_icu', 'W.P. Labuan')",96,"('beds_covid', 'Melaka')",42,"('beds_covid', 'Melaka')",97,"('beds_covid', 'Selangor')",88,"('beds_covid', 'Perak')",91,"('beds_covid', 'Melaka')",5,"('beds_covid', 'Pahang')",42,"('beds_covid', 'Melaka')",41,"('beds_icu', 'Negeri Sembilan')",56,"('beds_covid', 'Negeri Sembilan')",22,"('beds_covid', 'Melaka')",61,"('beds_covid', 'Negeri Sembilan')",2,"('beds_covid', 'Johor')",97,"('beds_covid', 'Kedah')",2,"('admitted_total', 'Selangor')",46
"('beds_covid', 'Pulau Pinang')",60,"('beds_icu_covid', 'Johor')",21,"('beds_covid', 'Perak')",92,"('beds_covid', 'Sabah')",73,"('beds_covid', 'W.P. Kuala Lumpur')",2,"('beds_covid', 'Sabah')",12,"('beds_covid', 'Negeri Sembilan')",3,"('beds_covid', 'Sarawak')",57,"('beds_covid', 'Negeri Sembilan')",34,"('beds_icu', 'W.P. Labuan')",1,"('beds_covid', 'Sarawak')",73,"('beds_covid', 'Negeri Sembilan')",5,"('beds_covid', 'Selangor')",68,"('beds_covid', 'Kedah')",32,"('beds_covid', 'Kelantan')",43,"('admitted_total', 'W.P. Kuala Lumpur')",8
"('beds_covid', 'Sarawak')",45,"('beds_icu_covid', 'Perak')",4,"('beds_covid', 'Selangor')",37,"('beds_covid', 'Sarawak')",47,"('beds_covid', 'W.P. Labuan')",56,"('beds_covid', 'Sarawak')",60,"('beds_covid', 'Pahang')",100,"('beds_covid', 'Selangor')",2,"('beds_covid', 'Pahang')",51,"('beds_icu_covid', 'Negeri Sembilan')",52,"('beds_covid', 'Selangor')",2,"('beds_covid', 'Sabah')",26,"('beds_covid', 'W.P. Kuala Lumpur')",54,"('beds_covid', 'Melaka')",2,"('beds_covid', 'Melaka')",82,"('admitted_total', 'W.P. Putrajaya')",2
"('beds_covid', 'Selangor')",45,"('beds_icu_covid', 'Perlis')",59,"('beds_covid', 'W.P. Labuan')",5,"('beds_covid', 'Selangor')",7,"('beds_covid', 'W.P. Putrajaya')",17,"('beds_covid', 'Selangor')",79,"('beds_covid', 'Selangor')",26,"('beds_covid', 'W.P. Kuala Lumpur')",73,"('beds_covid', 'Perlis')",68,"('beds_icu_covid', 'Perak')",60,"('beds_covid', 'Terengganu')",2,"('beds_covid', 'W.P. Kuala Lumpur')",42,"('beds_covid', 'W.P. Labuan')",4,"('beds_covid', 'Negeri Sembilan')",52,"('beds_covid', 'Sabah')",73,"('beds_covid', 'Kedah')",2
"('beds_covid', 'W.P. Kuala Lumpur')",38,"('beds_icu_covid', 'Sabah')",7,"('beds_icu', 'Melaka')",11,"('beds_covid', 'W.P. Kuala Lumpur')",29,"('beds_icu', 'Kelantan')",96,"('beds_icu', 'Melaka')",2,"('beds_covid', 'W.P. Kuala Lumpur')",71,"('beds_covid', 'W.P. Labuan')",3,"('beds_covid', 'Pulau Pinang')",3,"('beds_icu_covid', 'Perlis')",4,"('beds_covid', 'W.P. Kuala Lumpur')",63,"('beds_icu', 'Kelantan')",91,"('beds_icu', 'Negeri Sembilan')",68,"('beds_covid', 'Pahang')",29,"('beds_covid', 'Sarawak')",71,"('beds_covid', 'Kelantan')",93
"('beds_icu', 'Melaka')",29,"('beds_icu_covid', 'Sarawak')",25,"('beds_icu', 'W.P. Kuala Lumpur')",30,"('beds_covid', 'W.P. Labuan')",16,"('beds_icu', 'Negeri Sembilan')",7,"('beds_icu', 'Perak')",36,"('beds_covid', 'W.P. Labuan')",2,"('beds_covid', 'W.P. Putrajaya')",82,"('beds_covid', 'Sarawak')",84,"('beds_icu_covid', 'Sabah')",58,"('beds_covid', 'W.P. Labuan')",2,"('beds_icu', 'Negeri Sembilan')",49,"('beds_icu', 'Selangor')",58,"('beds_covid', 'Pulau Pinang')",98,"('beds_covid', 'Selangor')",6,"('beds_covid', 'Perlis')",48
"('beds_icu', 'Negeri Sembilan')",79,"('beds_icu_rep', 'Negeri Sembilan')",16,"('beds_icu_covid', 'Negeri Sembilan')",60,"('beds_covid', 'W.P. Putrajaya')",91,"('beds_icu', 'Perak')",54,"('beds_icu', 'Sarawak')",2,"('beds_icu', 'Selangor')",91,"('beds_icu', 'Melaka')",11,"('beds_covid', 'Selangor')",37,"('beds_icu_covid', 'Sarawak')",56,"('beds_icu', 'Melaka')",3,"('beds_icu', 'Selangor')",34,"('beds_icu', 'W.P. Kuala Lumpur')",80,"('beds_covid', 'W.P. Kuala Lumpur')",49,"('beds_covid', 'W.P. Kuala Lumpur')",32,"('beds_covid', 'Sarawak')",16
"('beds_icu', 'Pahang')",32,"('beds_icu_rep', 'W.P. Labuan')",52,"('beds_icu_covid', 'Perlis')",79,"('beds_icu', 'Melaka')",58,"('beds_icu', 'Sarawak')",68,"('beds_icu', 'Selangor')",15,"('beds_icu', 'W.P. Labuan')",19,"('beds_icu', 'Negeri Sembilan')",78,"('beds_covid', 'W.P. Kuala Lumpur')",40,"('beds_icu_rep', 'Negeri Sembilan')",72,"('beds_icu', 'Negeri Sembilan')",82,"('beds_icu', 'W.P. Labuan')",11,"('beds_icu', 'W.P. Labuan')",48,"('beds_covid', 'W.P. Labuan')",27,"('beds_covid', 'W.P. Labuan')",1,"('beds_covid', 'Selangor')",77
"('beds_icu', 'Selangor')",95,"('beds_icu_total', 'Negeri Sembilan')",84,"('beds_icu_covid', 'Sabah')",2,"('beds_icu', 'Sarawak')",62,"('beds_icu_covid', 'Kedah')",84,"('beds_icu', 'Terengganu')",69,"('beds_icu_covid', 'Perlis')",83,"('beds_icu', 'W.P. Kuala Lumpur')",68,"('beds_covid', 'W.P. Labuan')",9,"('beds_icu_rep', 'W.P. Labuan')",2,"('beds_icu', 'Pahang')",80,"('beds_icu_covid', 'Kelantan')",77,"('beds_icu_covid', 'Johor')",2,"('beds_icu', 'Selangor')",32,"('beds_icu', 'W.P. Kuala Lumpur')",51,"('beds_covid', 'W.P. Labuan')",3
"('beds_icu', 'Terengganu')",74,"('beds_icu_total', 'Perak')",70,"('beds_icu_covid', 'Sarawak')",17,"('beds_icu', 'W.P. Kuala Lumpur')",67,"('beds_icu_covid', 'Sarawak')",1,"('beds_icu', 'W.P. Kuala Lumpur')",2,"('beds_icu_covid', 'Pulau Pinang')",76,"('beds_icu_covid', 'Negeri Sembilan')",33,"('beds_covid', 'W.P. Putrajaya')",73,"('beds_icu_total', 'Kelantan')",73,"('beds_icu', 'W.P. Kuala Lumpur')",85,"('beds_icu_covid', 'Negeri Sembilan')",55,"('beds_icu_covid', 'Perlis')",68,"('beds_icu', 'W.P. Labuan')",92,"('beds_icu', 'W.P. Labuan')",22,"('beds_icu', 'Kedah')",71
"('beds_icu', 'W.P. Labuan')",95,"('beds_icu_total', 'W.P. Labuan')",42,"('beds_icu_rep', 'Negeri Sembilan')",15,"('beds_icu_covid', 'Negeri Sembilan')",47,"('beds_icu_rep', 'Kelantan')",51,"('beds_icu_covid', 'Kedah')",11,"('beds_icu_covid', 'Sabah')",8,"('beds_icu_covid', 'Pahang')",49,"('beds_icu_covid', 'Kelantan')",7,"('beds_icu_total', 'Perak')",91,"('beds_icu', 'W.P. Labuan')",20,"('beds_icu_covid', 'Pulau Pinang')",15,"('beds_icu_covid', 'Pulau Pinang')",63,"('beds_icu_covid', 'Sarawak')",53,"('beds_icu', 'W.P. Putrajaya')",91,"('beds_icu', 'Melaka')",15
"('beds_icu_covid', 'Johor')",98,"('beds_noncrit', 'Negeri Sembilan')",32,"('beds_icu_rep', 'W.P. Labuan')",47,"('beds_icu_covid', 'Pulau Pinang')",96,"('beds_icu_rep', 'Perak')",92,"('beds_icu_covid', 'Melaka')",2,"('beds_icu_covid', 'Sarawak')",16,"('beds_icu_covid', 'Perak')",21,"('beds_icu_covid', 'Negeri Sembilan')",3,"('beds_icu_total', 'Sarawak')",17,"('beds_icu_covid', 'Johor')",93,"('beds_icu_covid', 'Sabah')",84,"('beds_icu_covid', 'Sabah')",1,"('beds_icu_covid', 'Terengganu')",85,"('beds_icu_covid', 'Johor')",14,"('beds_icu', 'Perlis')",45
"('beds_icu_covid', 'Kelantan')",88,"('beds_noncrit', 'Pulau Pinang')",39,"('beds_icu_total', 'Melaka')",50,"('beds_icu_covid', 'Sarawak')",17,"('beds_icu_rep', 'Sarawak')",65,"('beds_icu_covid', 'Negeri Sembilan')",85,"('beds_icu_rep', 'Negeri Sembilan')",40,"('beds_icu_covid', 'Sarawak')",93,"('beds_icu_covid', 'Perak')",2,"('beds_noncrit', 'Melaka')",79,"('beds_icu_covid', 'Perak')",14,"('beds_icu_covid', 'Sarawak')",6,"('beds_icu_covid', 'Sarawak')",35,"('beds_icu_rep', 'Kedah')",67,"('beds_icu_covid', 'Perak')",2,"('beds_icu', 'Pulau Pinang')",67
"('beds_icu_covid', 'Sabah')",10,"('beds_noncrit', 'Selangor')",53,"('beds_icu_total', 'Negeri Sembilan')",21,"('beds_icu_covid', 'W.P. Kuala Lumpur')",68,"('beds_icu_total', 'Kelantan')",12,"('beds_icu_covid', 'Pahang')",1,"('beds_icu_rep', 'W.P. Kuala Lumpur')",2,"('beds_icu_rep', 'Kedah')",6,"('beds_icu_covid', 'Perlis')",47,"('beds_noncrit', 'Negeri Sembilan')",24,"('beds_icu_covid', 'Sarawak')",52,"('beds_icu_covid', 'Terengganu')",72,"('beds_icu_rep', 'Negeri Sembilan')",74,"('beds_icu_rep', 'Kelantan')",7,"('beds_icu_covid', 'Perlis')",21,"('beds_icu', 'Selangor')",30
"('beds_icu_covid', 'Selangor')",41,"('beds_noncrit', 'W.P. Kuala Lumpur')",62,"('beds_icu_total', 'Perak')",64,"('beds_icu_rep', 'Negeri Sembilan')",65,"('beds_icu_total', 'Sarawak')",19,"('beds_icu_covid', 'Pulau Pinang')",1,"('beds_icu_rep', 'W.P. Labuan')",1,"('beds_icu_rep', 'Negeri Sembilan')",34,"('beds_icu_covid', 'Sabah')",7,"('beds_noncrit', 'W.P. Labuan')",2,"('beds_icu_rep', 'Negeri Sembilan')",21,"('beds_icu_rep', 'Negeri Sembilan')",81,"('beds_icu_rep', 'Selangor')",83,"('beds_icu_rep', 'Negeri Sembilan')",62,"('beds_icu_covid', 'Terengganu')",94,"('beds_icu', 'Terengganu')",91
"('beds_icu_rep', 'Negeri Sembilan')",5,"('beds_noncrit', 'W.P. Labuan')",26,"('beds_icu_total', 'Perlis')",88,"('beds_icu_rep', 'W.P. Kuala Lumpur')",93,"('beds_icu_total', 'Terengganu')",98,"('beds_icu_covid', 'Sarawak')",41,"('beds_icu_total', 'Negeri Sembilan')",49,"('beds_icu_rep', 'Pahang')",82,"('beds_icu_covid', 'Sarawak')",34,"('cases_adolescent', 'Negeri Sembilan')",13,"('beds_icu_rep', 'W.P. Labuan')",38,"('beds_icu_rep', 'W.P. Labuan')",2,"('beds_icu_total', 'W.P. Labuan')",19,"('beds_icu_rep', 'Pahang')",83,"('beds_icu_rep', 'Perak')",72,"('beds_icu_covid', 'Melaka')",60
"('beds_icu_rep', 'Pahang')",67,"('beds_noncrit', 'W.P. Putrajaya')",48,"('beds_icu_total', 'Pulau Pinang')",97,"('beds_icu_total', 'Johor')",92,"('beds_icu_total', 'W.P. Kuala Lumpur')",72,"('beds_icu_covid', 'W.P. Putrajaya')",65,"('beds_icu_total', 'W.P. Labuan')",87,"('beds_icu_rep', 'Perak')",13,"('beds_icu_rep', 'Negeri Sembilan')",68,"('cases_adolescent', 'W.P. Labuan')",2,"('beds_icu_total', 'Kelantan')",83,"('beds_icu_total', 'Johor')",53,"('beds_noncrit', 'Kedah')",37,"('beds_icu_rep', 'Perak')",90,"('beds_icu_total', 'Perlis')",19,"('beds_icu_covid', 'Negeri Sembilan')",29
"('beds_icu_rep', 'W.P. Kuala Lumpur')",65,"('cases_adolescent', 'W.P. Putrajaya')",58,"('beds_noncrit', 'Johor')",91,"('beds_icu_total', 'Kelantan')",32,"('beds_icu_total', 'W.P. Labuan')",2,"('beds_icu_rep', 'Johor')",2,"('beds_noncrit', 'Melaka')",53,"('beds_icu_rep', 'Selangor')",87,"('beds_icu_rep', 'Pahang')",43,"('cases_adult', 'Melaka')",40,"('beds_icu_total', 'Sarawak')",23,"('beds_icu_total', 'Kelantan')",31,"('beds_noncrit', 'Melaka')",60,"('beds_icu_total', 'Negeri Sembilan')",65,"('beds_noncrit', 'Kedah')",47,"('beds_icu_covid', 'Perak')",2
"('beds_icu_total', 'Kelantan')",100,"('cases_adult', 'Melaka')",42,"('beds_noncrit', 'Kedah')",40,"('beds_icu_total', 'Negeri Sembilan')",69,"('beds_noncrit', 'Negeri Sembilan')",2,"('beds_icu_rep', 'Perak')",37,"('beds_noncrit', 'Negeri Sembilan')",23,"('beds_icu_total', 'Pahang')",79,"('beds_icu_total', 'Johor')",61,"('cases_adult', 'Negeri Sembilan')",2,"('beds_icu_total', 'W.P. Labuan')",44,"('beds_icu_total', 'Melaka')",63,"('beds_noncrit', 'Negeri Sembilan')",19,"('beds_icu_total', 'W.P. Labuan')",17,"('beds_noncrit', 'Melaka')",74,"('beds_icu_covid', 'Pulau Pinang')",79
"('beds_icu_total', 'Perak')",91,"('cases_adult', 'Negeri Sembilan')",13,"('beds_noncrit', 'Melaka')",62,"('beds_icu_total', 'Pulau Pinang')",44,"('beds_noncrit', 'Selangor')",75,"('beds_icu_rep', 'Perlis')",48,"('beds_noncrit', 'Sarawak')",32,"('beds_icu_total', 'Sarawak')",51,"('beds_icu_total', 'W.P. Labuan')",30,"('cases_adult', 'Perak')",89,"('beds_noncrit', 'Negeri Sembilan')",35,"('beds_icu_total', 'Perlis')",50,"('beds_noncrit', 'Pulau Pinang')",43,"('beds_noncrit', 'Kedah')",47,"('beds_noncrit', 'Negeri Sembilan')",62,"('beds_icu_covid', 'Sabah')",11
"('beds_icu_total', 'Pulau Pinang')",83,"('cases_adult', 'Perak')",53,"('beds_noncrit', 'Pulau Pinang')",74,"('beds_icu_total', 'W.P. Labuan')",82,"('beds_noncrit', 'W.P. Kuala Lumpur')",5,"('beds_icu_rep', 'Pulau Pinang')",81,"('beds_noncrit', 'Selangor')",74,"('beds_icu_total', 'W.P. Labuan')",17,"('beds_noncrit', 'Negeri Sembilan')",72,"('cases_adult', 'W.P. Kuala Lumpur')",80,"('beds_noncrit', 'Pulau Pinang')",100,"('beds_icu_total', 'Pulau Pinang')",86,"('beds_noncrit', 'Sarawak')",15,"('beds_noncrit', 'Kelantan')",2,"('beds_noncrit', 'Pulau Pinang')",11,"('beds_icu_covid', 'Sarawak')",71
"('beds_icu_total', 'Terengganu')",76,"('cases_adult', 'W.P. Kuala Lumpur')",61,"('beds_noncrit', 'Sarawak')",79,"('beds_noncrit', 'Johor')",64,"('beds_noncrit', 'W.P. Labuan')",22,"('beds_icu_rep', 'Sarawak')",43,"('beds_noncrit', 'W.P. Kuala Lumpur')",38,"('beds_noncrit', 'Johor')",73,"('beds_noncrit', 'Pulau Pinang')",45,"('cases_adult', 'W.P. Labuan')",4,"('beds_noncrit', 'Selangor')",59,"('beds_icu_total', 'Sarawak')",98,"('beds_noncrit', 'Selangor')",48,"('beds_noncrit', 'Melaka')",37,"('beds_noncrit', 'Selangor')",45,"('beds_icu_covid', 'Terengganu')",91
"('beds_icu_total', 'W.P. Labuan')",55,"('cases_adult', 'W.P. Labuan')",16,"('beds_noncrit', 'Selangor')",44,"('beds_noncrit', 'Kedah')",84,"('beds_noncrit', 'W.P. Putrajaya')",16,"('beds_icu_rep', 'Selangor')",19,"('beds_noncrit', 'W.P. Labuan')",13,"('beds_noncrit', 'Kedah')",25,"('beds_noncrit', 'Sarawak')",22,"('cases_elderly', 'Negeri Sembilan')",13,"('beds_noncrit', 'W.P. Kuala Lumpur')",33,"('beds_icu_total', 'W.P. Labuan')",53,"('beds_noncrit', 'W.P. Labuan')",28,"('beds_noncrit', 'Negeri Sembilan')",4,"('beds_noncrit', 'W.P. Kuala Lumpur')",21,"('beds_icu_covid', 'W.P. Labuan')",59
"('beds_noncrit', 'Johor')",61,"('cases_adult', 'W.P. Putrajaya')",23,"('beds_noncrit', 'W.P. Labuan')",18,"('beds_noncrit', 'Melaka')",12,"('cases_adolescent', 'Melaka')",89,"('beds_icu_rep', 'Terengganu')",19,"('beds_noncrit', 'W.P. Putrajaya')",42,"('beds_noncrit', 'Melaka')",35,"('beds_noncrit', 'Selangor')",72,"('cases_elderly', 'W.P. Kuala Lumpur')",86,"('beds_noncrit', 'W.P. Labuan')",26,"('beds_noncrit', 'Negeri Sembilan')",60,"('cases_adolescent', 'Kedah')",2,"('beds_noncrit', 'Pulau Pinang')",75,"('beds_noncrit', 'W.P. Labuan')",18,"('beds_icu_rep', 'Negeri Sembilan')",2
"('beds_noncrit', 'Melaka')",3,"('cases_elderly', 'Negeri Sembilan')",20,"('cases_adolescent', 'Kedah')",2,"('beds_noncrit', 'Sabah')",69,"('cases_adolescent', 'Negeri Sembilan')",1,"('beds_icu_rep', 'W.P. Kuala Lumpur')",83,"('cases_adolescent', 'Negeri Sembilan')",35,"('beds_noncrit', 'Negeri Sembilan')",96,"('beds_noncrit', 'W.P. Kuala Lumpur')",19,"('cases_elderly', 'W.P. Labuan')",3,"('beds_noncrit', 'W.P. Putrajaya')",81,"('beds_noncrit', 'W.P. Kuala Lumpur')",38,"('cases_adolescent', 'Kelantan')",41,"('beds_noncrit', 'Sarawak')",42,"('cases_adolescent', 'Kedah')",2,"('beds_icu_rep', 'Pahang')",98
"('beds_noncrit', 'Pulau Pinang')",10,"('cases_elderly', 'W.P. Kuala Lumpur')",84,"('cases_adolescent', 'Melaka')",29,"('beds_noncrit', 'Sarawak')",77,"('cases_adolescent', 'Sarawak')",94,"('beds_icu_total', 'Johor')",1,"('cases_adolescent', 'Pulau Pinang')",93,"('beds_noncrit', 'Pulau Pinang')",42,"('beds_noncrit', 'W.P. Putrajaya')",59,"('discharged_covid', 'Johor')",90,"('cases_adolescent', 'Melaka')",88,"('beds_noncrit', 'W.P. Putrajaya')",14,"('cases_adolescent', 'Melaka')",77,"('beds_noncrit', 'Selangor')",94,"('cases_adolescent', 'Selangor')",58,"('beds_icu_rep', 'Perak')",77
"('beds_noncrit', 'Sarawak')",25,"('cases_elderly', 'W.P. Labuan')",86,"('cases_adolescent', 'Terengganu')",55,"('beds_noncrit', 'Selangor')",27,"('cases_adolescent', 'Selangor')",29,"('beds_icu_total', 'Pulau Pinang')",28,"('cases_adolescent', 'W.P. Kuala Lumpur')",7,"('beds_noncrit', 'Sarawak')",98,"('cases_adolescent', 'Pahang')",57,"('discharged_covid', 'Kedah')",96,"('cases_adolescent', 'Negeri Sembilan')",39,"('cases_adolescent', 'Kedah')",10,"('cases_adolescent', 'W.P. Kuala Lumpur')",44,"('beds_noncrit', 'W.P. Kuala Lumpur')",46,"('cases_adolescent', 'W.P. Kuala Lumpur')",3,"('beds_icu_rep', 'Selangor')",70
"('beds_noncrit', 'W.P. Kuala Lumpur')",39,"('discharged_covid', 'Perak')",71,"('cases_adolescent', 'W.P. Putrajaya')",24,"('beds_noncrit', 'W.P. Kuala Lumpur')",15,"('cases_adolescent', 'W.P. Kuala Lumpur')",33,"('beds_icu_total', 'Sabah')",72,"('cases_adolescent', 'W.P. Putrajaya')",24,"('beds_noncrit', 'Selangor')",29,"('cases_adolescent', 'Pulau Pinang')",74,"('discharged_covid', 'Melaka')",78,"('cases_adolescent', 'Sarawak')",97,"('cases_adolescent', 'Melaka')",84,"('cases_adolescent', 'W.P. Putrajaya')",26,"('cases_adolescent', 'Kedah')",23,"('cases_adolescent', 'W.P. Putrajaya')",28,"('beds_icu_rep', 'W.P. Kuala Lumpur')",2
"('cases_adolescent', 'Kedah')",16,"('discharged_covid', 'Sabah')",75,"('cases_adult', 'Pahang')",63,"('cases_adolescent', 'Kedah')",37,"('cases_adolescent', 'W.P. Putrajaya')",33,"('beds_icu_total', 'Selangor')",30,"('cases_adult', 'Melaka')",2,"('beds_noncrit', 'W.P. Kuala Lumpur')",30,"('cases_adolescent', 'Selangor')",52,"('discharged_covid', 'Negeri Sembilan')",26,"('cases_adolescent', 'Selangor')",59,"('cases_adolescent', 'Negeri Sembilan')",45,"('cases_adult', 'Melaka')",78,"('cases_adolescent', 'Negeri Sembilan')",35,"('cases_adult', 'Kedah')",57,"('beds_icu_total', 'Kelantan')",19
"('cases_adolescent', 'Selangor')",82,"('discharged_covid', 'Selangor')",14,"('cases_elderly', 'Kedah')",85,"('cases_adolescent', 'Melaka')",9,"('cases_adult', 'Kedah')",65,"('beds_icu_total', 'Terengganu')",45,"('cases_adult', 'W.P. Kuala Lumpur')",5,"('cases_adolescent', 'Kedah')",61,"('cases_adolescent', 'Terengganu')",7,"('discharged_covid', 'Perak')",92,"('cases_adolescent', 'W.P. Kuala Lumpur')",84,"('cases_adolescent', 'Pahang')",72,"('cases_adult', 'Negeri Sembilan')",24,"('cases_adolescent', 'Pulau Pinang')",81,"('cases_adult', 'W.P. Kuala Lumpur')",8,"('beds_icu_total', 'Negeri Sembilan')",83
"('cases_adult', 'Pahang')",91,"('discharged_covid', 'W.P. Kuala Lumpur')",36,"('cases_elderly', 'Melaka')",69,"('cases_adolescent', 'Selangor')",75,"('cases_adult', 'Melaka')",77,"('beds_noncrit', 'Johor')",16,"('cases_adult', 'W.P. Labuan')",5,"('cases_adolescent', 'W.P. Kuala Lumpur')",18,"('cases_adolescent', 'W.P. Kuala Lumpur')",63,"('discharged_covid', 'W.P. Kuala Lumpur')",69,"('cases_adolescent', 'W.P. Labuan')",90,"('cases_adolescent', 'W.P. Putrajaya')",67,"('cases_adult', 'Perak')",86,"('cases_adolescent', 'W.P. Kuala Lumpur')",62,"('cases_adult', 'W.P. Labuan')",17,"('beds_icu_total', 'W.P. Putrajaya')",81
"('cases_adult', 'Sarawak')",97,"('discharged_pui', 'Kedah')",89,"('cases_elderly', 'Negeri Sembilan')",16,"('cases_adolescent', 'W.P. Kuala Lumpur')",10,"('cases_adult', 'Negeri Sembilan')",2,"('beds_noncrit', 'Pahang')",50,"('cases_adult', 'W.P. Putrajaya')",70,"('cases_adult', 'Melaka')",27,"('cases_adolescent', 'W.P. Putrajaya')",16,"('discharged_covid', 'W.P. Labuan')",1,"('cases_adolescent', 'W.P. Putrajaya')",96,"('cases_adult', 'Kedah')",67,"('cases_adult', 'Sabah')",75,"('cases_adolescent', 'W.P. Putrajaya')",64,"('cases_adult', 'W.P. Putrajaya')",41,"('beds_noncrit', 'Johor')",83
