Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('icu_covid', 'Negeri Sembilan')",50,"('vent_noncovid', 'Terengganu')",28,"('vent_covid', 'Sabah')",51,"('hosp_noncovid', 'Negeri Sembilan')",86,"('hosp_pui', 'W.P. Labuan')",82,"('hosp_covid', 'Kedah')",78,"('icu_noncovid', 'Sabah')",28,"('icu_covid', 'Johor')",24,"('icu_covid', 'Negeri Sembilan')",66,"('vent', 'Kedah')",100,"('icu_covid', 'W.P. Kuala Lumpur')",87,"('icu_pui', 'Kelantan')",65,"('icu_pui', 'Pahang')",58,"('hosp_noncovid', 'Sabah')",21,"('icu_pui', 'Sabah')",75,"('icu_covid', 'Perlis')",7
"('icu_covid', 'Terengganu')",85,"('vent_port', 'Johor')",60,"('vent_noncovid', 'Pulau Pinang')",94,"('hosp_noncovid', 'Sabah')",12,"('hosp_pui', 'W.P. Putrajaya')",73,"('hosp_covid', 'Kelantan')",93,"('icu_noncovid', 'W.P. Labuan')",29,"('icu_covid', 'Melaka')",48,"('icu_covid', 'Perlis')",42,"('vent', 'Melaka')",25,"('icu_noncovid', 'Kedah')",61,"('icu_pui', 'Melaka')",21,"('icu_pui', 'Sabah')",92,"('hosp_noncovid', 'Selangor')",2,"('icu_pui', 'Terengganu')",15,"('icu_noncovid', 'Kedah')",34
"('icu_covid', 'W.P. Kuala Lumpur')",50,"('vent_port', 'Kedah')",46,"('vent_noncovid', 'W.P. Kuala Lumpur')",8,"('hosp_noncovid', 'W.P. Kuala Lumpur')",1,"('icu_covid', 'Johor')",1,"('hosp_covid', 'Melaka')",3,"('icu_pui', 'Johor')",75,"('icu_covid', 'Pahang')",44,"('icu_covid', 'Pulau Pinang')",37,"('vent', 'Negeri Sembilan')",34,"('icu_noncovid', 'Sabah')",25,"('icu_pui', 'Negeri Sembilan')",18,"('icu_pui', 'Selangor')",95,"('hosp_noncovid', 'W.P. Kuala Lumpur')",11,"('icu_pui', 'W.P. Labuan')",59,"('icu_noncovid', 'Negeri Sembilan')",89
"('icu_noncovid', 'Sabah')",19,"('vent_port', 'Melaka')",19,"('vent_port', 'Kedah')",6,"('hosp_noncovid', 'W.P. Putrajaya')",34,"('icu_covid', 'Kedah')",1,"('hosp_covid', 'Pahang')",3,"('icu_pui', 'Kelantan')",93,"('icu_covid', 'Selangor')",99,"('icu_covid', 'Selangor')",78,"('vent', 'Perak')",15,"('icu_noncovid', 'W.P. Labuan')",13,"('icu_pui', 'Pahang')",87,"('icu_pui', 'Terengganu')",92,"('hosp_pui', 'Kelantan')",2,"('vent', 'Johor')",31,"('icu_noncovid', 'W.P. Kuala Lumpur')",13
"('icu_noncovid', 'W.P. Labuan')",87,"('vent_port', 'Negeri Sembilan')",50,"('vent_port', 'Melaka')",25,"('hosp_pui', 'Negeri Sembilan')",36,"('icu_covid', 'Kelantan')",24,"('hosp_covid', 'Pulau Pinang')",88,"('icu_pui', 'Melaka')",67,"('icu_covid', 'Terengganu')",86,"('icu_covid', 'Terengganu')",61,"('vent', 'Perlis')",11,"('icu_pui', 'Negeri Sembilan')",41,"('icu_pui', 'Perak')",57,"('icu_pui', 'W.P. Labuan')",71,"('hosp_pui', 'Negeri Sembilan')",32,"('vent', 'Melaka')",82,"('icu_pui', 'Melaka')",58
"('vent', 'Perak')",41,"('vent_port', 'Pahang')",48,"('vent_port', 'Pahang')",46,"('hosp_pui', 'Sabah')",100,"('icu_covid', 'Melaka')",61,"('hosp_covid', 'Sabah')",21,"('icu_pui', 'Negeri Sembilan')",60,"('icu_covid', 'W.P. Kuala Lumpur')",59,"('icu_noncovid', 'Negeri Sembilan')",70,"('vent', 'Selangor')",47,"('icu_pui', 'Pahang')",56,"('icu_pui', 'Pulau Pinang')",35,"('vent', 'Sabah')",1,"('hosp_pui', 'W.P. Kuala Lumpur')",15,"('vent', 'Terengganu')",90,"('icu_pui', 'Negeri Sembilan')",73
"('vent', 'Perlis')",89,"('vent_port', 'Sabah')",35,"('vent_port', 'Sabah')",10,"('hosp_pui', 'Selangor')",87,"('icu_covid', 'Pulau Pinang')",99,"('hosp_covid', 'Selangor')",51,"('icu_pui', 'Pahang')",25,"('icu_noncovid', 'W.P. Kuala Lumpur')",67,"('icu_noncovid', 'W.P. Kuala Lumpur')",69,"('vent', 'W.P. Kuala Lumpur')",36,"('icu_pui', 'Sabah')",3,"('icu_pui', 'Sabah')",45,"('vent_covid', 'Sabah')",30,"('hosp_pui', 'W.P. Labuan')",6,"('vent', 'W.P. Kuala Lumpur')",98,"('icu_pui', 'Perak')",100
"('vent', 'Sarawak')",37,"('vent_port', 'Selangor')",9,"('vent_port', 'W.P. Kuala Lumpur')",100,"('icu_covid', 'Johor')",3,"('icu_covid', 'Sabah')",93,"('hosp_noncovid', 'Pahang')",1,"('icu_pui', 'Sabah')",2,"('icu_pui', 'Sabah')",96,"('icu_pui', 'Kelantan')",88,"('vent_covid', 'Kedah')",22,"('icu_pui', 'Selangor')",77,"('icu_pui', 'Terengganu')",32,"('vent_covid', 'Sarawak')",5,"('hosp_pui', 'W.P. Putrajaya')",78,"('vent_covid', 'Sabah')",29,"('icu_pui', 'Pulau Pinang')",95
"('vent_covid', 'Kedah')",81,"('vent_port', 'W.P. Kuala Lumpur')",27,"('vent_port_used', 'Sabah')",71,"('icu_covid', 'Terengganu')",22,"('icu_covid', 'Selangor')",15,"('hosp_noncovid', 'Sarawak')",76,"('icu_pui', 'Terengganu')",65,"('icu_pui', 'Selangor')",90,"('icu_pui', 'Melaka')",84,"('vent_covid', 'Perlis')",92,"('icu_pui', 'W.P. Labuan')",38,"('vent', 'Negeri Sembilan')",29,"('vent_noncovid', 'Johor')",24,"('icu_covid', 'Johor')",2,"('vent_noncovid', 'Melaka')",23,"('icu_pui', 'Sabah')",2
"('vent_covid', 'Selangor')",99,"('vent_port_used', 'W.P. Kuala Lumpur')",30,"('vent_port_used', 'Sarawak')",36,"('icu_pui', 'Kelantan')",72,"('icu_covid', 'Terengganu')",48,"('hosp_noncovid', 'Selangor')",97,"('icu_pui', 'W.P. Labuan')",17,"('icu_pui', 'Terengganu')",32,"('icu_pui', 'Selangor')",59,"('vent_covid', 'Pulau Pinang')",80,"('vent', 'Melaka')",29,"('vent', 'Perlis')",12,"('vent_noncovid', 'Sarawak')",64,"('icu_covid', 'Kelantan')",45,"('vent_noncovid', 'W.P. Kuala Lumpur')",24,"('icu_pui', 'Selangor')",21
