Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('3day', 'Negeri Sembilan')",13,"('2week', 'Perak')",28,"('3day', 'Selangor')",7,"('2week', 'W.P. Kuala Lumpur')",1,"('2week', 'Kelantan')",21,"('2mth', 'Kelantan')",9,"('2week', 'W.P. Putrajaya')",19,"('4day', 'Terengganu')",22,"('2mth', 'Kedah')",27,"('2week', 'Pulau Pinang')",14,"('2week', 'Pulau Pinang')",25,"('2week', 'Kelantan')",6,"('2week', 'Pahang')",24,"('2week', 'Johor')",3,"('2week', 'Negeri Sembilan')",2,"('2week', 'Selangor')",2
"('3day', 'Selangor')",27,"('2week', 'Sabah')",21,"('3day', 'W.P. Labuan')",5,"('3day', 'Negeri Sembilan')",26,"('2week', 'Melaka')",2,"('2mth', 'Negeri Sembilan')",17,"('3day', 'Negeri Sembilan')",2,"('4mth', 'Sarawak')",9,"('2week', 'Johor')",13,"('3day', 'W.P. Labuan')",2,"('2week', 'W.P. Putrajaya')",10,"('2week', 'Negeri Sembilan')",2,"('2week', 'Selangor')",23,"('2week', 'Kelantan')",12,"('2week', 'Selangor')",24,"('2week', 'W.P. Putrajaya')",23
"('3mth', 'Melaka')",25,"('2week', 'Selangor')",17,"('3mth', 'Sarawak')",13,"('3week', 'Melaka')",2,"('2week', 'Pahang')",7,"('2mth', 'Selangor')",2,"('3day', 'Pahang')",1,"('4week', 'Negeri Sembilan')",26,"('2week', 'Pahang')",7,"('3week', 'Negeri Sembilan')",2,"('3day', 'W.P. Labuan')",15,"('2week', 'Pahang')",12,"('3day', 'Negeri Sembilan')",9,"('2week', 'Pahang')",2,"('3day', 'Melaka')",20,"('3day', 'Melaka')",7
"('3week', 'Kedah')",19,"('3day', 'Negeri Sembilan')",10,"('3week', 'Selangor')",21,"('3week', 'Pahang')",5,"('2week', 'Pulau Pinang')",18,"('2mth', 'W.P. Labuan')",3,"('3day', 'W.P. Labuan')",14,"('4week', 'Pahang')",15,"('2week', 'Selangor')",2,"('3week', 'W.P. Labuan')",2,"('3week', 'Melaka')",1,"('2week', 'Pulau Pinang')",23,"('3mth', 'Johor')",26,"('3day', 'Negeri Sembilan')",2,"('3day', 'Negeri Sembilan')",2,"('3day', 'Selangor')",21
"('3week', 'Melaka')",3,"('3day', 'Selangor')",23,"('4day', 'Kelantan')",2,"('3week', 'Pulau Pinang')",18,"('2week', 'Selangor')",1,"('2week', 'Pulau Pinang')",27,"('3week', 'Kedah')",3,"('5day', 'Kedah')",6,"('2week', 'W.P. Putrajaya')",17,"('4day', 'Sarawak')",11,"('3week', 'W.P. Labuan')",11,"('3day', 'Pulau Pinang')",1,"('3week', 'Melaka')",9,"('3day', 'Pahang')",2,"('3day', 'Selangor')",16,"('3day', 'W.P. Labuan')",12
"('3week', 'Pahang')",5,"('4mth', 'Sarawak')",7,"('4mth', 'Perak')",22,"('3week', 'Selangor')",1,"('2week', 'Terengganu')",1,"('3day', 'Kelantan')",15,"('3week', 'Melaka')",29,"('5day', 'Negeri Sembilan')",30,"('3day', 'Kelantan')",7,"('4week', 'Negeri Sembilan')",30,"('4week', 'W.P. Labuan')",3,"('3day', 'W.P. Labuan')",8,"('3week', 'Pahang')",5,"('3day', 'Selangor')",12,"('3day', 'Terengganu')",26,"('3week', 'Melaka')",15
"('3week', 'Selangor')",21,"('4week', 'W.P. Labuan')",4,"('4mth', 'Sarawak')",4,"('4day', 'W.P. Labuan')",11,"('2week', 'W.P. Kuala Lumpur')",1,"('3day', 'Pahang')",25,"('3week', 'Pahang')",10,"('5day', 'Terengganu')",4,"('3day', 'Negeri Sembilan')",7,"('4week', 'Sabah')",6,"('5day', 'Sarawak')",1,"('3week', 'Negeri Sembilan')",2,"('3week', 'Pulau Pinang')",15,"('3week', 'Kedah')",18,"('3week', 'Kelantan')",30,"('3week', 'Selangor')",2
"('4day', 'Perlis')",28,"('5day', 'Sabah')",9,"('4mth', 'Selangor')",19,"('4week', 'Pahang')",10,"('2week', 'W.P. Putrajaya')",1,"('3day', 'Sarawak')",11,"('3week', 'Selangor')",2,"('5mth', 'W.P. Kuala Lumpur')",24,"('3day', 'Pahang')",3,"('4week', 'W.P. Labuan')",2,"('5day', 'Selangor')",2,"('3week', 'Pahang')",10,"('4mth', 'Sarawak')",3,"('3week', 'Melaka')",9,"('3week', 'Melaka')",5,"('4day', 'Perlis')",15
"('4week', 'W.P. Labuan')",9,"('5day', 'Terengganu')",25,"('5day', 'Johor')",9,"('5day', 'Terengganu')",2,"('3day', 'Melaka')",24,"('3day', 'Selangor')",2,"('4week', 'Kedah')",8,"('6mth', 'Johor')",5,"('3day', 'W.P. Labuan')",27,"('5day', 'Perlis')",14,"('5mth', 'W.P. Kuala Lumpur')",16,"('3week', 'Pulau Pinang')",21,"('5day', 'Kedah')",19,"('3week', 'Selangor')",25,"('3week', 'Sabah')",1,"('4week', 'Kelantan')",27
"('5day', 'Kedah')",18,"('5mth', 'W.P. Kuala Lumpur')",27,"('5day', 'Kedah')",15,"('5day', 'W.P. Labuan')",29,"('3day', 'Negeri Sembilan')",1,"('3day', 'W.P. Kuala Lumpur')",17,"('4week', 'Negeri Sembilan')",3,"('6mth', 'W.P. Kuala Lumpur')",9,"('3week', 'Melaka')",21,"('5mth', 'Negeri Sembilan')",3,"('6day', 'Johor')",1,"('3week', 'Selangor')",2,"('5day', 'Sabah')",1,"('3week', 'W.P. Kuala Lumpur')",6,"('3week', 'Selangor')",3,"('5day', 'Kelantan')",30
